Order,Company,Index,File/Directory,Number,Percent,PercentAll
By changed lines,Net EASE 网易有态度,11,pkg/controller/podautoscaler/horizontal_test.go,35,2.188,0.004
By changed lines,Net EASE 网易有态度,11,pkg/kubectl/cmd/exec.go,26,1.625,0.003
All By changed lines,Intel,12,"",1337,0.169,0.169
By changed lines,Intel,12,test,516,38.594,0.065
By changed lines,Intel,12,test/e2e,374,27.973,0.047
By changed lines,Intel,12,test/e2e/opaque_resource.go,373,27.898,0.047
By changed lines,Intel,12,pkg,296,22.139,0.038
By changed lines,Intel,12,plugin/pkg/scheduler,247,18.474,0.031
By changed lines,Intel,12,pkg/api,246,18.399,0.031
By changed lines,Intel,12,pkg/api/validation,224,16.754,0.028
By changed lines,Intel,12,examples,222,16.604,0.028
By changed lines,Intel,12,pkg/api/validation/validation_test.go,206,15.408,0.026
By changed lines,Intel,12,examples/spark,173,12.939,0.022
By changed lines,Intel,12,plugin/pkg/scheduler/algorithm/predicates,166,12.416,0.021
By changed lines,Intel,12,test/test_owners.csv,136,10.172,0.017
By changed lines,Intel,12,plugin/pkg/scheduler/algorithm/predicates/predicates_test.go,115,8.601,0.015
By changed lines,Intel,12,examples/spark/README.md,111,8.302,0.014
By changed lines,Intel,12,plugin/pkg/scheduler/schedulercache,81,6.058,0.01
By changed lines,Intel,12,plugin/pkg/scheduler/schedulercache/node_info.go,80,5.984,0.01
By changed lines,Intel,12,plugin/pkg/scheduler/algorithm/predicates/predicates.go,51,3.815,0.006
By changed lines,Intel,12,cmd/kubeadm/app,49,3.665,0.006
By changed lines,Intel,12,pkg/kubelet,43,3.216,0.005
By changed lines,Intel,12,examples/experimental/persistent-volume-provisioning,41,3.067,0.005
All By changed lines,Jetstack,13,"",1335,0.169,0.169
By changed lines,Jetstack,13,pkg,1308,97.978,0.166
By changed lines,Jetstack,13,pkg/volume/flocker,1262,94.532,0.16
By changed lines,Jetstack,13,pkg/volume/flocker/flocker.go,469,35.131,0.059
By changed lines,Jetstack,13,pkg/volume/flocker/plugin.go,270,20.225,0.034
By changed lines,Jetstack,13,pkg/volume/flocker/flocker_test.go,161,12.06,0.02
By changed lines,Jetstack,13,pkg/volume/flocker/flocker_volume_test.go,109,8.165,0.014
By changed lines,Jetstack,13,pkg/volume/flocker/flocker_volume.go,102,7.64,0.013
By changed lines,Jetstack,13,pkg/volume/flocker/flocker_util.go,94,7.041,0.012
By changed lines,Jetstack,13,pkg/volume/flocker/flocker_util_test.go,57,4.27,0.007
By changed lines,Jetstack,13,pkg/api,46,3.446,0.006
By changed lines,Jetstack,13,pkg/api/validation,34,2.547,0.004
By changed lines,Jetstack,13,pkg/api/validation/validation_test.go,28,2.097,0.004
By changed lines,Jetstack,13,api/swagger-spec,24,1.798,0.003
All By changed lines,IBM,14,"",1231,0.156,0.156
By changed lines,IBM,14,pkg,815,66.206,0.103
By changed lines,IBM,14,pkg/kubectl,724,58.814,0.092
By changed lines,IBM,14,pkg/kubectl/cmd,256,20.796,0.032
By changed lines,IBM,14,pkg/kubectl/scale_test.go,209,16.978,0.026
By changed lines,IBM,14,pkg/kubectl/resource/builder.go,173,14.054,0.022
By changed lines,IBM,14,pkg/kubectl/cmd/config,167,13.566,0.021
By changed lines,IBM,14,pkg/kubectl/cmd/config/config_test.go,130,10.561,0.016
By changed lines,IBM,14,examples,116,9.423,0.015
By changed lines,IBM,14,test,103,8.367,0.013
By changed lines,IBM,14,examples/k8petstore,85,6.905,0.011
By changed lines,IBM,14,hack,64,5.199,0.008
By changed lines,IBM,14,cmd/genman/gen_kube_man.go,61,4.955,0.008
By changed lines,IBM,14,test/e2e,59,4.793,0.007
By changed lines,IBM,14,pkg/kubectl/scale.go,54,4.387,0.007
By changed lines,IBM,14,pkg/util,49,3.981,0.006
By changed lines,IBM,14,pkg/util/proxy/transport_test.go,46,3.737,0.006
By changed lines,IBM,14,pkg/kubectl/cmd/replace_test.go,46,3.737,0.006
By changed lines,IBM,14,pkg/util/proxy,46,3.737,0.006
By changed lines,IBM,14,hack/verify-flags,40,3.249,0.005
By changed lines,IBM,14,hack/verify-flags/known-flags.txt,39,3.168,0.005
By changed lines,IBM,14,test/e2e/kubectl.go,36,2.924,0.005
By changed lines,IBM,14,test/soak,34,2.762,0.004
All By changed lines,Microsoft,15,"",1200,0.152,0.152
By changed lines,Microsoft,15,pkg,959,79.917,0.122
By changed lines,Microsoft,15,pkg/kubectl,527,43.917,0.067
By changed lines,Microsoft,15,pkg/kubectl/cmd,519,43.25,0.066
By changed lines,Microsoft,15,pkg/kubectl/cmd/cp.go,303,25.25,0.038
By changed lines,Microsoft,15,pkg/cloudprovider/providers/azure,218,18.167,0.028
By changed lines,Microsoft,15,pkg/api/validation,180,15.0,0.023
By changed lines,Microsoft,15,pkg/kubectl/cmd/cp_test.go,180,15.0,0.023
By changed lines,Microsoft,15,pkg/api,180,15.0,0.023
By changed lines,Microsoft,15,docs,158,13.167,0.02
By changed lines,Microsoft,15,pkg/cloudprovider/providers/azure/azure_test.go,117,9.75,0.015
By changed lines,Microsoft,15,docs/devel/community-expectations.md,116,9.667,0.015
By changed lines,Microsoft,15,pkg/api/validation/schema_test.go,115,9.583,0.015
By changed lines,Microsoft,15,pkg/cloudprovider/providers/azure/azure_loadbalancer.go,71,5.917,0.009
By changed lines,Microsoft,15,pkg/api/validation/schema.go,65,5.417,0.008
By changed lines,Microsoft,15,docs/user-guide/kubectl/kubectl_cp.md,36,3.0,0.005
By changed lines,Microsoft,15,pkg/controller/namespace,31,2.583,0.004
By changed lines,Microsoft,15,cmd,24,2.0,0.003
By changed lines,Microsoft,15,cmd/kube-controller-manager/app,22,1.833,0.003
All By changed lines,NotFound,16,"",151,0.019,0.019
By changed lines,NotFound,16,pkg/kubectl,146,96.689,0.019
By changed lines,NotFound,16,pkg/kubectl/rollout_status_test.go,137,90.728,0.017
By changed lines,NotFound,16,pkg/kubectl/rollout_status.go,9,5.96,0.001
By changed lines,NotFound,16,docs/design/aws_under_the_hood.md,3,1.987,0.0
By changed lines,NotFound,16,cluster/ubuntu/util.sh,2,1.325,0.0
All By number of commits to file,All,0,"",15544,100.0,100.0
All By number of commits to file,Google,1,"",9448,60.782,60.782
By number of commits to file,Google,1,pkg,3448,36.494,22.182
By number of commits to file,Google,1,staging,2033,21.518,13.079
By number of commits to file,Google,1,staging/src/k8s.io/client-go,2031,21.497,13.066
By number of commits to file,Google,1,pkg/client,1167,12.352,7.508
By number of commits to file,Google,1,pkg/client/clientset_generated,1060,11.219,6.819
By number of commits to file,Google,1,staging/src/k8s.io/client-go/1.5,994,10.521,6.395
By number of commits to file,Google,1,test,982,10.394,6.318
By number of commits to file,Google,1,federation,672,7.113,4.323
By number of commits to file,Google,1,pkg/kubelet,630,6.668,4.053
By number of commits to file,Google,1,cluster,548,5.8,3.525
By number of commits to file,Google,1,test/e2e,494,5.229,3.178
By number of commits to file,Google,1,pkg/client/clientset_generated/release_1_5,475,5.028,3.056
By number of commits to file,Google,1,staging/src/k8s.io/client-go/,453,4.795,2.914
By number of commits to file,Google,1,docs,451,4.773,2.901
By number of commits to file,Google,1,pkg/client/clientset_generated/release_1_5/typed,447,4.731,2.876
By number of commits to file,Google,1,staging/src/k8s.io/client-go/1.5/_vendor,424,4.488,2.728
By number of commits to file,Google,1,cmd,422,4.467,2.715
By number of commits to file,Google,1,federation/client,311,3.292,2.001
By number of commits to file,Google,1,federation/client/clientset_generated,310,3.281,1.994
By number of commits to file,Google,1,pkg/kubectl,280,2.964,1.801
By number of commits to file,Google,1,staging/src/k8s.io/client-go/1.5/_vendor/golang.org/x,276,2.921,1.776
By number of commits to file,Google,1,test/e2e_node,270,2.858,1.737
All By number of commits to file,Red Hat,2,"",3963,25.495,25.495
