Order,Company,Index,File/Directory,Number,Percent
By number of commits to file,Microsoft,9,/pkg/client,13,4.71
By number of commits to file,Microsoft,9,/hack,13,4.71
By number of commits to file,Microsoft,9,/pkg/client/unversioned,13,4.71
By number of commits to file,Microsoft,9,/pkg/kubectl/cmd,12,4.348
By number of commits to file,Microsoft,9,/Godeps,12,4.348
By number of commits to file,Microsoft,9,/cluster/images/hyperkube,11,3.986
All By number of commits to file,Net EASE 网易有态度,10,"",219,0.876
By number of commits to file,Net EASE 网易有态度,10,/docs,115,52.511
By number of commits to file,Net EASE 网易有态度,10,/pkg,91,41.553
By number of commits to file,Net EASE 网易有态度,10,/pkg/kubectl,62,28.311
By number of commits to file,Net EASE 网易有态度,10,/docs/user-guide,57,26.027
By number of commits to file,Net EASE 网易有态度,10,/docs/man/man1,57,26.027
By number of commits to file,Net EASE 网易有态度,10,/docs/user-guide/kubectl,56,25.571
By number of commits to file,Net EASE 网易有态度,10,/pkg/kubectl/cmd,48,21.918
By number of commits to file,Net EASE 网易有态度,10,/pkg/kubectl/resource_printer.go,8,3.653
By number of commits to file,Net EASE 网易有态度,10,/pkg/controller,7,3.196
By number of commits to file,Net EASE 网易有态度,10,/cmd,7,3.196
By number of commits to file,Net EASE 网易有态度,10,/pkg/registry,6,2.74
By number of commits to file,Net EASE 网易有态度,10,/pkg/client/cache,6,2.74
By number of commits to file,Net EASE 网易有态度,10,/pkg/kubectl/resource_printer_test.go,5,2.283
All By number of commits to file,Caicloud,11,"",195,0.78
By number of commits to file,Caicloud,11,/pkg,135,69.231
By number of commits to file,Caicloud,11,/pkg/controller,40,20.513
By number of commits to file,Caicloud,11,/pkg/apis,19,9.744
By number of commits to file,Caicloud,11,/pkg/apis/extensions,16,8.205
By number of commits to file,Caicloud,11,/pkg/registry,13,6.667
By number of commits to file,Caicloud,11,/test,13,6.667
By number of commits to file,Caicloud,11,/pkg/api,12,6.154
By number of commits to file,Caicloud,11,/plugin/pkg/scheduler,12,6.154
By number of commits to file,Caicloud,11,/pkg/util,12,6.154
By number of commits to file,Caicloud,11,/cmd,12,6.154
By number of commits to file,Caicloud,11,/pkg/controller/deployment,12,6.154
By number of commits to file,Caicloud,11,/pkg/kubectl,11,5.641
By number of commits to file,Caicloud,11,/pkg/apis/extensions/v1beta1,11,5.641
All By number of commits to file,Udacity,12,"",182,0.728
By number of commits to file,Udacity,12,/cluster,133,73.077
By number of commits to file,Udacity,12,/cluster/aws,32,17.582
By number of commits to file,Udacity,12,/docs,30,16.484
By number of commits to file,Udacity,12,/cluster/gce,27,14.835
By number of commits to file,Udacity,12,/cluster/vagrant,22,12.088
By number of commits to file,Udacity,12,/cluster/vsphere,16,8.791
By number of commits to file,Udacity,12,/cluster/aws/util.sh,12,6.593
By number of commits to file,Udacity,12,/docs/getting-started-guides,12,6.593
By number of commits to file,Udacity,12,/hack,11,6.044
By number of commits to file,Udacity,12,/cluster/gce/util.sh,9,4.945
By number of commits to file,Udacity,12,/cluster/gke,8,4.396
By number of commits to file,Udacity,12,/cluster/gce/config-default.sh,7,3.846
By number of commits to file,Udacity,12,/hack/jenkins/e2e.sh,7,3.846
By number of commits to file,Udacity,12,/cluster/aws/config-default.sh,7,3.846
By number of commits to file,Udacity,12,/hack/jenkins,7,3.846
All By number of commits to file,Immobilien Scout GmbH,13,"",108,0.432
By number of commits to file,Immobilien Scout GmbH,13,/pkg,38,35.185
By number of commits to file,Immobilien Scout GmbH,13,/docs,26,24.074
By number of commits to file,Immobilien Scout GmbH,13,/pkg/kubelet,13,12.037
By number of commits to file,Immobilien Scout GmbH,13,/examples,12,11.111
By number of commits to file,Immobilien Scout GmbH,13,/docs/proposals,9,8.333
By number of commits to file,Immobilien Scout GmbH,13,/cluster,9,8.333
By number of commits to file,Immobilien Scout GmbH,13,/hack,7,6.481
By number of commits to file,Immobilien Scout GmbH,13,/pkg/util,7,6.481
By number of commits to file,Immobilien Scout GmbH,13,/contrib/mesos/pkg,5,4.63
By number of commits to file,Immobilien Scout GmbH,13,/docs/user-guide,5,4.63
By number of commits to file,Immobilien Scout GmbH,13,/contrib/mesos,5,4.63
By number of commits to file,Immobilien Scout GmbH,13,/docs/devel,5,4.63
By number of commits to file,Immobilien Scout GmbH,13,/contrib,5,4.63
By number of commits to file,Immobilien Scout GmbH,13,/examples/k8petstore,4,3.704
By number of commits to file,Immobilien Scout GmbH,13,/pkg/kubelet/dockertools,4,3.704
All By number of commits to file,Rook,14,"",92,0.368
By number of commits to file,Rook,14,/Godeps,35,38.043
By number of commits to file,Rook,14,/Godeps/_workspace/src/github.com,34,36.957
By number of commits to file,Rook,14,/docs,27,29.348
By number of commits to file,Rook,14,/docs/getting-started-guides,26,28.261
By number of commits to file,Rook,14,/docs/getting-started-guides/docker-multinode,19,20.652
By number of commits to file,Rook,14,/cluster,19,20.652
By number of commits to file,Rook,14,/Godeps/_workspace/src/github.com/boltdb/bolt,17,18.478
By number of commits to file,Rook,14,/Godeps/_workspace/src/github.com/onsi/ginkgo,17,18.478
